name,lei,title,cusip,isin,ticker,other_identifier,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind,isCashCollateral,isNonCashCollateral,isLoanByFund
American Residential 1/25 TLB,N/A,American Residential 1/25 TLB,02927HAH1,,,LX258161,400000,PA,USD,400500,0.08708579079,Long,LON,CORP,US,N,2,2032-02-02,Floating,7.5296484,N,N,N,N,N,N
Anchorage Capital CLO LTD,549300ZNOS7Q8W8H3S38,ANCHC 2021-19A F,03328KAE4,US03328KAE47,ANCHC,,1000000,PA,USD,839847.5,0.182618685844,Long,ABS-CBDO,CORP,KY,Y,2,2034-10-15,Floating,11.76770879,N,N,N,N,N,N
AkzoNobel Specialty Chemical 10/24 Incremental TLB,N/A,AkzoNobel Specialty Chemical 10/24 Incremental TLB,N8232NAM9,,,LX248298,599576.58,PA,USD,601902.94,0.130879384541,Long,LON,CORP,NL,N,2,2028-04-03,Floating,7.55025839,N,N,N,N,N,N
Blackhawk Network 1/25 Cov-Lite TLB,N/A,Blackhawk Network 1/25 Cov-Lite TLB,09238FAM3,,,LX258205,2293439.81,PA,USD,2304196.04,0.501030547513,Long,LON,CORP,US,N,2,2029-03-12,Floating,8.3268108,N,N,N,N,N,N
Amex GBT 1/25 Cov-Lite TLB,N/A,Amex GBT 1/25 Cov-Lite TLB,36154HAC4,,,LX258422,1684841.25,PA,USD,1686357.61,0.366686107421,Long,LON,CORP,US,N,2,2031-07-28,Floating,6.7826196,N,N,N,N,N,N
Clear Channel 3/24 TLB,N/A,Clear Channel 3/24 TLB,18452RAF2,,,LX227627,1250000,PA,USD,1237050,0.268987459418,Long,LON,CORP,US,N,2,2028-08-21,Floating,8.4412908,N,N,N,N,N,N
CIFC Funding Ltd,N/A,CIFC 2019-5A SUB,12555GAC2,US12555GAC24,CIFC,,1000000,PA,USD,517200,0.112461350803,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
FERTITTA ENTERTAINMENT,N/A,FERTITTA ENT LLC FRTITA 6 3/4 01/15/30,31556TAC3,US31556TAC36,FRTITA,,328000,PA,USD,302139.99,0.065698127237,Long,DBT,CORP,US,Y,2,2030-01-15,Fixed,6.75,N,N,N,N,N,N
Garda World 1/25 Cov-Lite TLB,N/A,Garda World 1/25 Cov-Lite TLB,C4000KAG9,,,LX258261,1419984.03,PA,USD,1420765.02,0.308934944554,Long,LON,CORP,CA,N,2,2029-02-01,Floating,7.31440079,N,N,N,N,N,N
OverDrive/RBmedia 12/23 Cov-Lite TL,N/A,OverDrive/RBmedia 12/23 Cov-Lite TL,37610GAG3,,,LX219701,1071105.54,PA,USD,1076236.14,0.234019663742,Long,LON,CORP,US,N,2,2028-12-15,Floating,8.57680919,N,N,N,N,N,N
Neuberger Berman CLO Ltd,549300VBBLOSKH8XQ869,NEUB 2016-21A SUB,64130YAE4,US64130YAE41,NEUB,,4425109,PA,USD,2941325.7,0.639569724235,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Jostens/Champ Acquisition 11/24 TLB,N/A,Jostens/Champ Acquisition 11/24 TLB,15807EAH5,,,LX251441,847599.16,PA,USD,851481.16,0.185148339979,Long,LON,CORP,US,N,2,2031-11-25,Floating,8.1660312,N,N,N,N,N,N
Mavenir November II Initial Term Loans,N/A,Mavenir November II Initial Term Loans,N/A,,,LX255338,54323.01,PA,USD,,,Long,LON,CORP,US,N,2,2025-09-02,Floating,14.3236908,Y,N,N,N,N,N
Cotiviti 2/25 Incremental Cov-Lite TL,N/A,Cotiviti 2/25 Incremental Cov-Lite TL,22164MAF4,,,LX259025,850958.85,PA,USD,845997.76,0.183956014822,Long,LON,CORP,US,N,2,2032-03-26,Floating,7.0742196,N,N,N,N,N,N
Invenergy 4/25 TLB,N/A,Invenergy 4/25 TLB,N/A,,,LX262693,232005.76,PA,USD,233397.79,0.050750639477,Long,LON,CORP,US,N,2,2032-05-14,Floating,,N,N,N,N,N,N
GFL Environmental Services 2/25 TLB,N/A,GFL Environmental Services 2/25 TLB,36257SAB8,,,LX258430,686032.13,PA,USD,685462.72,0.149048846513,Long,LON,CORP,CA,N,2,2032-03-03,Floating,6.8237496,N,N,N,N,N,N
DISCOVERY PURCHASER CORP,2549001LSO1ZBIPA5D65,DISCOVERY PURCHASER CORPORATION TL 1L,25471NAC0,US25471NAC02,BAYENV,LX206612,542638.79,PA,USD,541450.41,0.11773442479,Long,LON,CORP,US,N,2,2029-10-04,Floating,8.02238039,N,N,N,N,N,N
